"name","state","district","category","description","address","latitude","longitude","estimated_cost","opening_hours","image_url","is_active","visit_duration_min","festival_start_date","festival_end_date","halal_status","is_outdoor","best_time_to_visit","dress_code_required","website_url","phone_number","avg_rating","rating"
"Tasik Darulaman Park","Kedah","Kubang Pasu","nature","Tasik Darulaman Park is a nature stop in Kubang Pasu, Kedah, useful for outdoor scenery and eco-tourism. It is located around Bandar Darulaman, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.3/5 from about 2931 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Bandar Darulaman, 06000 Jitra, Kedah, Malaysia","6.2536386","100.4378312","0.00","Monday: 9:00 AM - 12:00 PM, 4:00 - 8:00 PM | Tuesday: 6:00 AM - 8:00 PM | Wednesday: 9:00 AM - 12:00 PM, 4:00 - 8:00 PM | Thursday: 9:00 AM - 12:00 PM, 4:00 - 8:00 PM | Friday: 9:00 AM - 12:00 PM, 3:00 - 8:00 PM | Saturday: 8:00 AM - 12:00 PM, 4:00 - 8:00 PM | Sunday: 9:00 AM - 12:00 PM, 3:00 - 8:00 PM","uploads/places/google_bulk_tasik_darulaman_park_kedah_kubang_pasu_33227f8f95.jpg","1","120","","","","1","Morning","0","https://maps.google.com/?cid=15584828600262571664","04-913 1402","4.30","4.30"
"Ceruq Seni Jitra","Kedah","Kubang Pasu","culture","Ceruq Seni Jitra is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around Bandar Darulaman Jaya, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.0/5 from about 3 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Bandar Darulaman Jaya, 06000 Jitra, Kedah, Malaysia","6.2431667","100.4200337","0.00","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","uploads/places/google_bulk_ceruq_seni_jitra_kedah_kubang_pasu_66e7051a54.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=12219443900028188926","","4.00","4.00"
"Fantasia Aquapark","Kedah","Kubang Pasu","food","Fantasia Aquapark is a food stop in Kubang Pasu, Kedah, useful for local food culture and meal planning. It is located around 1, Jalan Golf, & Country Club, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.1/5 from about 1214 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","1, Jalan Golf, & Country Club, 06000 Jitra, Kedah, Malaysia","6.2543398","100.4385154","20.00","Monday: 10:00 AM - 6:30 PM | Tuesday: 10:00 AM - 6:30 PM | Wednesday: 10:00 AM - 6:30 PM | Thursday: 10:00 AM - 6:30 PM | Friday: 10:00 AM - 6:30 PM | Saturday: 10:00 AM - 6:30 PM | Sunday: 10:00 AM - 6:30 PM","uploads/places/google_bulk_fantasia_aquapark_kedah_kubang_pasu_7e79095b94.jpg","1","60","","","","0","Lunch or dinner","0","https://maps.google.com/?cid=2301401511549225558","011-6330 1846","4.10","4.10"
"Rumah Tok Su • Malay Traditional House","Kedah","Kubang Pasu","culture","Rumah Tok Su • Malay Traditional House is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around Jalan Lumba Kuda, Bandar Alor Setar, 05250 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.5/5 from about 92 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jalan Lumba Kuda, Bandar Alor Setar, 05250 Alor Setar, Kedah, Malaysia","6.1478928","100.3717351","0.00","","uploads/places/google_bulk_rumah_tok_su_malay_traditional_house_kedah_kubang_pasu_f8facf1b5f.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=5712036909555677291","04-733 1162","4.50","4.50"
"Wat Jitraram","Kedah","Kubang Pasu","heritage","Wat Jitraram is a heritage stop in Kubang Pasu, Kedah, useful for religious, architectural, or historical heritage. It is located around Kampung Sungai Baru, Kedah, Kampung Chegar, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 89 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kampung Sungai Baru, Kedah, Kampung Chegar, 06000 Jitra, Kedah, Malaysia","6.2659212","100.4279646","0.00","","uploads/places/google_bulk_wat_jitraram_kedah_kubang_pasu_bdb002f3af.jpg","1","90","","","","0","Morning or afternoon","1","https://m.facebook.com/pages/Wat-Jitraram/121904601250183","04-917 2520","4.40","4.40"
"Bazar Iftar Taman Suria","Kedah","Kubang Pasu","culture","Bazar Iftar Taman Suria is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around Kampung Banggul, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 49 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kampung Banggul, 06000 Jitra, Kedah, Malaysia","6.2766134","100.4109393","0.00","","uploads/places/google_bulk_bazar_iftar_taman_suria_kedah_kubang_pasu_a8fb903e34.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=15944617486418939641","","4.40","4.40"
"Puncak Janing Waterfall","Kedah","Kubang Pasu","culture","Puncak Janing Waterfall is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around 06300 Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 4.2/5 from about 275 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","06300 Kuala Nerang, Kedah, Malaysia","6.3726472","100.5586566","0.00","","uploads/places/google_bulk_puncak_janing_waterfall_kedah_kubang_pasu_83e67dbd16.jpg","1","90","","","","1","Morning or afternoon","0","https://maps.google.com/?cid=13889124178401065278","013-451 7639","4.20","4.20"
"Kilang Coklat Kedah - Kilang Coklat Nokona Taste (CnW Jitra Manufacturing (M) Sdn. Bhd.)","Kedah","Kubang Pasu","food","Kilang Coklat Kedah - Kilang Coklat Nokona Taste (CnW Jitra Manufacturing (M) Sdn. Bhd.) is a food stop in Kubang Pasu, Kedah, useful for local food culture and meal planning. It is located around Lot 42, 43, Taman Industri KEDA, Napoh, 06000 Jitra, Kedah, Malaysia. Google Places shows a rating context of 4.3/5 from about 79 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Lot 42, 43, Taman Industri KEDA, Napoh, 06000 Jitra, Kedah, Malaysia","6.3628567","100.4193879","20.00","Monday: 9:00 AM - 5:00 PM | Tuesday: 9:00 AM - 5:00 PM | Wednesday: 9:00 AM - 5:00 PM | Thursday: 9:00 AM - 1:00 PM | Friday: Closed | Saturday: 9:00 AM - 5:00 PM | Sunday: 9:00 AM - 5:00 PM","uploads/places/google_bulk_kilang_coklat_kedah_kilang_coklat_nokona_taste_cnw_jitra_manufacturing_m_sdn_bhd_203f318de3.jpg","1","60","","","","0","Lunch or dinner","0","https://www.tiktok.com/@cnwjitraofficial?_t=ZS-8w5iYumohQe&_r=1","016-411 5737","4.30","4.30"
"Makam Puteri Lindungan Bulan","Kedah","Kubang Pasu","culture","Makam Puteri Lindungan Bulan is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around Unnamed Road, Kampung Siputeh, 06100 Kodiang, Kedah, Malaysia. Google Places shows a rating context of 4.5/5 from about 46 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Unnamed Road, Kampung Siputeh, 06100 Kodiang, Kedah, Malaysia","6.3562596","100.326555","0.00","","uploads/places/google_bulk_makam_puteri_lindungan_bulan_kedah_kubang_pasu_4477a78368.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=16883063476523185934","","4.50","4.50"
"Bukit Singgora","Kedah","Kubang Pasu","culture","Bukit Singgora is a culture stop in Kubang Pasu, Kedah, useful for local cultural exploration. It is located around 5F84+MC, 06400 Langgar, Kedah, Malaysia. Google Places shows a rating context of 5.0/5 from about 3 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","5F84+MC, 06400 Langgar, Kedah, Malaysia","6.1666476","100.4561147","0.00","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","uploads/places/google_bulk_bukit_singgora_kedah_kubang_pasu_5e5b86ca61.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=5858040059606356060","013-592 1414","5.00","5.00"
"Wat Nikrodharam Buddist Temple","Kedah","Kubang Pasu","heritage","Wat Nikrodharam Buddist Temple is a heritage stop in Kubang Pasu, Kedah, useful for religious, architectural, or historical heritage. It is located around Taman Tunku Habsah, 05150 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 208 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Taman Tunku Habsah, 05150 Alor Setar, Kedah, Malaysia","6.1251919","100.3719975","0.00","Monday: 7:00 AM - 4:00 PM | Tuesday: 7:00 AM - 4:00 PM | Wednesday: 7:00 AM - 4:00 PM | Thursday: 7:00 AM - 4:00 PM | Friday: 7:00 AM - 4:00 PM | Saturday: 7:00 AM - 4:00 PM | Sunday: 7:00 AM - 4:00 PM","uploads/places/google_bulk_wat_nikrodharam_buddist_temple_kedah_kubang_pasu_d37a961494.jpg","1","90","","","","0","Morning or afternoon","1","https://maps.google.com/?cid=17681751396058063368","04-731 1624","4.40","4.40"
"Zahir Mosque","Kedah","Kubang Pasu","heritage","Zahir Mosque is a heritage stop in Kubang Pasu, Kedah, useful for religious, architectural, or historical heritage. It is located around Jalan Kampung Perak, Bandar Alor Setar, 05150 Alor Setar, Kedah, Malaysia. Google Places shows a rating context of 4.8/5 from about 5289 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jalan Kampung Perak, Bandar Alor Setar, 05150 Alor Setar, Kedah, Malaysia","6.1202722","100.3651758","0.00","Monday: 5:00 AM - 11:00 PM | Tuesday: 5:00 AM - 11:00 PM | Wednesday: 5:00 AM - 11:00 PM | Thursday: 5:00 AM - 11:00 PM | Friday: 5:00 AM - 11:00 PM | Saturday: 5:00 AM - 11:00 PM | Sunday: 5:00 AM - 11:00 PM","uploads/places/google_bulk_zahir_mosque_kedah_kubang_pasu_fac67fb2d3.jpg","1","90","","","","0","Morning or afternoon","1","https://maps.google.com/?cid=2611278962149763091","04-733 3288","4.80","4.80"
"Candi Bukit Batu Pahat","Kedah","Kubang Pasu","heritage","Candi Bukit Batu Pahat is a heritage stop in Kubang Pasu, Kedah, useful for religious, architectural, or historical heritage. It is located around Jalan Lembah Bujang, 08400 Merbok, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 52 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jalan Lembah Bujang, 08400 Merbok, Kedah, Malaysia","5.7391118","100.4136014","0.00","","uploads/places/google_bulk_candi_bukit_batu_pahat_kedah_kubang_pasu_a477f468a1.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=11676017347533518985","","4.40","4.40"
"Jeram Tok Din","Kedah","Padang Terap","culture","Jeram Tok Din is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Kampung Pinang, 06400 Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 4.5/5 from about 58 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kampung Pinang, 06400 Kuala Nerang, Kedah, Malaysia","6.2235887","100.7355887","0.00","","uploads/places/google_bulk_jeram_tok_din_kedah_padang_terap_c5ce7e4a99.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=14193172301022146219","","4.50","4.50"
"Kampung Padi","Kedah","Padang Terap","culture","Kampung Padi is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Tikam Batu, 08600 Sungai Petani, Kedah, Malaysia. Google Places shows a rating context of 4.1/5 from about 83 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Tikam Batu, 08600 Sungai Petani, Kedah, Malaysia","5.5680218","100.4286256","0.00","Monday: 3:00 - 11:00 PM | Tuesday: Closed | Wednesday: 3:00 - 11:00 PM | Thursday: 3:00 - 11:00 PM | Friday: 3:00 - 11:00 PM | Saturday: 9:00 AM - 11:00 PM | Sunday: 9:00 AM - 11:00 PM","uploads/places/google_bulk_kampung_padi_kedah_padang_terap_435a744148.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=615192141593399507","017-563 6056","4.10","4.10"
"Seraya WaterFall","Kedah","Padang Terap","culture","Seraya WaterFall is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 4.6/5 from about 72 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kuala Nerang, Kedah, Malaysia","6.4353157","100.6833752","0.00","","uploads/places/google_bulk_seraya_waterfall_kedah_padang_terap_d55856220e.jpg","1","90","","","","1","Morning or afternoon","0","https://maps.google.com/?cid=17453597692390013793","","4.60","4.60"
"Semeliang Agro Farm (Pusat Ternakan Rusa)","Kedah","Padang Terap","culture","Semeliang Agro Farm (Pusat Ternakan Rusa) is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Jln Kampung Rambutan, Kampung Semeliang, 06300 Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 3.9/5 from about 79 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Jln Kampung Rambutan, Kampung Semeliang, 06300 Kuala Nerang, Kedah, Malaysia","6.2652829","100.5985836","0.00","Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours","uploads/places/google_bulk_semeliang_agro_farm_pusat_ternakan_rusa_kedah_padang_terap_081c748b36.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=13643151053463666307","019-714 9689","3.90","3.90"
"Padang Garam, Kuala Kedah","Kedah","Padang Terap","culture","Padang Garam, Kuala Kedah is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Kuala Kedah, Kedah, Malaysia. Google Places shows a rating context of 4.4/5 from about 96 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Kuala Kedah, Kedah, Malaysia","6.1203152","100.278576","0.00","","uploads/places/google_bulk_padang_garam_kuala_kedah_kedah_padang_terap_1b596835b5.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=5467551551023225679","","4.40","4.40"
"Pengkalan Tok Mas","Kedah","Padang Terap","culture","Pengkalan Tok Mas is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around 06300 Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 4.1/5 from about 28 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","06300 Kuala Nerang, Kedah, Malaysia","6.2352174","100.6716351","0.00","Monday: 8:00 AM - 7:30 PM | Tuesday: 8:00 AM - 7:30 PM | Wednesday: 8:00 AM - 7:30 PM | Thursday: 8:00 AM - 7:30 PM | Friday: 8:00 AM - 7:30 PM | Saturday: 8:00 AM - 7:30 PM | Sunday: 8:00 AM - 7:30 PM","uploads/places/google_bulk_pengkalan_tok_mas_kedah_padang_terap_4935f3f07f.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=9312016051368237014","","4.10","4.10"
"Gunung Kerengga, Pedu","Kedah","Padang Terap","culture","Gunung Kerengga, Pedu is a culture stop in Padang Terap, Kedah, useful for local cultural exploration. It is located around Gunung Kerengga, Jalan Lebuhraya TEKIH, Tasik, 06300 Kuala Nerang, Kedah, Malaysia. Google Places shows a rating context of 4.8/5 from about 52 user review(s). It helps diversify district-level itinerary planning so routes are not concentrated only in major city centres. Travellers should verify current opening hours before visiting.","Gunung Kerengga, Jalan Lebuhraya TEKIH, Tasik, 06300 Kuala Nerang, Kedah, Malaysia","6.1885392","100.8063463","0.00","Monday: 6:00 AM - 7:00 PM | Tuesday: 6:00 AM - 7:00 PM | Wednesday: 6:00 AM - 7:00 PM | Thursday: 6:00 AM - 7:00 PM | Friday: 6:00 AM - 7:00 PM | Saturday: 6:00 AM - 7:00 PM | Sunday: 6:00 AM - 7:00 PM","uploads/places/google_bulk_gunung_kerengga_pedu_kedah_padang_terap_9ec07ad122.jpg","1","90","","","","0","Morning or afternoon","0","https://maps.google.com/?cid=13297440356328247058","","4.80","4.80"
